Name,B,W,H,Tall,Weight,Birthday,Reliablity
村上恵梨,,,,,,,
村上友梨,,,,,,,
村上里佳子,82,58,86,169,48,,unknown
多岐川華子,80,58,87,161,43,,unknown
多岐川裕美,83,58,85,162,,,unknown
多田あさみ,,,,,,,
多田愛佳,,,,,,,
多部未華子,75,58,82,157,,1989/01/25,unknown
太田夢莉,,,,,,,
大河内奈々子,78,58,86,167,44,,unknown
大貫彩香,,,,,,,
大久保佳代子,88,70,90,158,,,unknown
大久保桜子,,,,,,,
大橋未歩,88,60,88,162,,,unknown
大原かおり,,,,,,,
大原優乃,,,,,,,
大城美和,,,,,,,
大場久美子,80,58,83,153,,,unknown
大場美奈,,,,,,,
大石絵理,,,,,,,
大石恵,,,,,,,
大川藍,79,57,78,164,43,,unknown
大沢あかね,87,63,85,160,47,,unknown
大沢舞子,,,,,,,
大谷みつほ,,,,,,,
大塚寧々,80,53,83,156,41,,unknown
大島珠奈,,,,,,,
大島麻衣,89,58,84,159,,,unknown
大島優子,81,56,80,152,,,unknown
大野いと,,,,,,,
大友さゆり,,,,,,,
大路恵美,80,57,80,158,41,,unknown
大和田南那,,,,,,,
大澤玲美,,,,,,,
鷹羽澪,,,,,,,
滝口ひかり,,,,,,,
滝川綾,,,,,,,
滝沢沙織,80,58,84,174,54,,unknown
滝沢乃南,95,59,85,155,,,unknown
沢口愛華,,,,,,,
沢口靖子,80,58,87,159,42,,unknown
沢尻エリカ,,,,,,,
辰巳奈都子,,,,,,,
谷村奈南,88,58,86,162,,1987/09/10,
谷村美月,83,56,80,158,,,unknown
谷桃子,88,58,87,160,46,,unknown
谷澤恵里香,,,,,,,
壇れい,,,,162,,1971/08/04,
壇蜜,,,,,,,
檀れい,80,58,83,162,44,,unknown
池上紗理依,,,,,,,
池田エライザ,,,,170,,1996/04/16,
池田ショコラ,,,,,,,
池田ゆり,,,,,,,
池田愛恵里,,,,,,,
池田夏希,,,,,,,
池本しおり,,,,,,,
池脇千鶴,80,55,85,155,41,,unknown
竹内のぞみ,,,,,,,
竹内渉,,,,,,,
中井りか,,,,,,,
中越典子,78,56,82,163,44,,unknown
中山 エミリ,77,57,83,155,38,,unknown
中山エミリ,,,,,,,
中山恵,,,,,,,
中山忍,81,59,87,166,,,unknown
中山美穂,80,58,85,158,45,,unknown
中条あやみ,,,,,,1997/02/04,
中森友香,,,,,,,
中川朋美,,,,,,,
中川翔子,84,58,84,156.5,42,,unknown
中村アン,89,57,87,164,,,unknown
中村葵,,,,,,,
中村果生莉,,,,,,,
中村静香,,,,,,,
中村知世,,,,,,,
中田有紀,82,59,83,163,,,unknown
中島愛里,,,,,,,
中島史恵,,,,,,,
中島知子,87,64,91,164,,,unknown
中島礼香,,,,,,,
仲間由紀恵,78,59,80,160,45,,unknown
仲根かすみ,,,,,,,
仲倉静香,,,,,,,
仲村みう,,,,,,,
仲村美海,,,,,,,
仲里依紗,87,59,88,,,,unknown
朝長美桜,,,,,,,
朝比奈彩,80,58,83,171,,1993/10/06,
朝比奈祐未,,,,,,,
長月翠,,,,,,,
長崎真友子,,,,,,,
長崎莉奈,,,,,,,
長谷川京子,80,55,82,166,45,,unknown
長谷川潤,78,63,88,164,,1986/06/05,
長谷川理恵,83,59,86,170,,,unknown
長澤まさみ,83.5,57,82.5,168,,,unknown
長澤奈央,,,,,,,
長澤茉里奈,,,,,,,
長濱ねる,,,,,,,
鳥居みゆき,83,60,85,170,,,unknown
椎名ひかり,,,,,,,
椎名香奈江,,,,,,,
辻希美,79,60,83,153,55,,unknown
天海祐希,83,58,88,173.6,,,unknown
天木じゅん,,,,,,,
殿倉恵未,,,,,,,
田丸麻紀,84,59,87,172,50.5,,unknown
田村りおん,,,,,,,
田村りんか,,,,,,,
田村英里子,,,,,,1973/01/16,
田村美和,,,,,,,
田代さやか,,,,,,,
田中みな実,,,,,,1986/11/23,
田中菜々,,,,,,,
田中優香,,,,,,,
田中律子,80,59,89,160,45,,unknown
田中麗奈,77,56,82,158,,,unknown
渡辺さとみ,,,,,,,
渡辺枝里子,80,59,86,168,48,,unknown
渡辺直美,120,115,130,158,101,,unknown
渡辺美優紀,,,,,,,
渡辺麻友,,,,,,,
渡辺万美,,,,,,,
渡辺満里奈,85,60,88,163,47,,unknown
渡邉幸愛,,,,,,,
都丸紗也華,,,,,,,
土屋アンナ,85,60,89,168,51,,unknown
唐田えりか,,,,167,,1997/09/19,
島崎遥香,,,,,,,
島崎和歌子,90,60,90,156,50,,unknown
東雲うみ,,,,,,,
東原亜希,84,58,84,165,,,unknown
桃井かおり,84,59,87,162,50,,unknown
桃月なしこ,,,,,,,
桃瀬美咲,,,,,,,
藤井リナ,84,57,87,155,43,,unknown
藤井美菜,,,,166,,1988/07/15,
藤原紀香,88,60,89,171,,,unknown
